municipio,cod_ine,confirmados,recuperados,decesos
Cobija,90101,12,0,1
Warnes,70201,3,0,0
Tarija,60101,3,0,0
Robore,70503,5,0,1
Eucaliptus,41101,2,0,1
Cliza,0,1,0,1
Sacaba,31001,2,0,0
San Carlos,70402,1,0,0
Copacabana,21701,1,0,0
Concepcion,71101,1,0,0
Uyuni,51201,1,0,0
Cotoca,70102,4,0,0
Sucre,10101,1,0,0
San Pedro,71005,1,0,0
El Alto,20105,40,4,5
La Guardia,70104,12,0,1
Cairoma,20905,11,0,0
Punata,31401,8,0,1
Genreal Saavedra,71002,4,0,0
Capinota,30701,0,0,0
Potosi,50101,18,0,1
Santibañez,30702,12,0,0
Vallegrande,70801,8,1,0
Cochabamba,30101,26,4,2
Porongo (Ayacucho),70103,1,1,0
Laja,21202,1,0,0
Huanuni,40701,6,0,0
Santa Cruz de la Sierra,70101,181,8,8
San Julián,71104,1,0,0
Oruro,40101,34,8,1
Montero,71001,67,0,2
Quillacollo,30901,5,0,1
La Paz,20101,60,2,6
Malla,20904,1,0,0
Chulumani,21101,1,0,0
Patacamaya,21305,18,0,1
Santuario de Quillacas,40202,3,0,0
Omereque,30203,5,1,0
Colcapirhua,30905,1,1,0
Chimore,31204,1,1,0
Santa Rosa,70602,1,0,0
